band_1,band_2,band_3,band_4,x,y,z
883.0,814.0,446.0,208.0,673057.979,9371060.421,-2.937191
904.0,902.0,472.0,185.0,673149.939,9371182.464,-1.053953
1227.0,1191.0,536.0,190.0,673134.875,9371287.907,-1.943953
943.0,749.0,333.0,198.0,673121.69,9371175.462,-5.1036
744.0,546.0,315.0,207.0,673071.827,9371044.639,-11.154119
1292.0,1442.0,1138.0,308.0,673365.756,9371322.735,-0.913955
860.0,653.0,309.0,191.0,673076.134,9371144.004,-7.7636
915.0,812.0,425.0,209.0,673073.227,9371074.116,-1.537191
1174.0,1088.0,441.0,177.0,673317.78,9371180.028,-2.997357
1047.0,1002.0,451.0,182.0,673254.98,9371354.863,-2.486161
1047.0,1057.0,563.0,189.0,673147.448,9371200.733,-0.743953
1378.0,1510.0,1158.0,281.0,673310.642,9371331.804,-1.009925
1123.0,1109.0,540.0,174.0,673185.781,9371247.746,-1.426773
872.0,718.0,340.0,187.0,673146.016,9371137.681,-2.727191
1151.0,1071.0,447.0,176.0,673161.145,9371276.014,-2.729245
1151.0,1250.0,957.0,253.0,673393.734,9371269.534,-0.690809
1056.0,941.0,383.0,190.0,673227.535,9371331.81,-3.436161
987.0,936.0,456.0,196.0,673131.257,9371069.806,-2.850746
759.0,564.0,331.0,200.0,673086.313,9371050.645,-8.584119
968.0,764.0,327.0,198.0,673079.93,9371207.752,-5.719245
1018.0,902.0,387.0,186.0,673332.204,9371169.267,-2.207357
1080.0,1053.0,502.0,186.0,673122.426,9371243.616,-2.189245
994.0,882.0,495.0,187.0,673128.404,9371068.539,-2.620746
1156.0,1208.0,841.0,225.0,673259.254,9371234.36,-0.853955
860.0,653.0,309.0,191.0,673070.103,9371143.903,-7.5136
930.0,958.0,690.0,218.0,673378.554,9371393.311,-0.723054
872.0,689.0,309.0,189.0,673098.481,9371096.687,-3.957191
1389.0,1554.0,1207.0,306.0,673477.415,9371373.267,-0.710699
1020.0,855.0,342.0,171.0,673291.018,9371135.255,-4.490746
740.0,507.0,309.0,189.0,673088.199,9371021.208,-11.004119
968.0,764.0,327.0,198.0,673077.988,9371206.208,-5.729245
889.0,683.0,321.0,188.0,673033.799,9371169.266,-7.132304
1124.0,1162.0,721.0,194.0,673221.045,9371201.633,-1.067191
1278.0,1440.0,1112.0,264.0,673445.365,9371324.171,-1.034126
1305.0,1443.0,1073.0,247.0,673382.051,9371260.891,-0.720809
1302.0,1420.0,1079.0,269.0,673437.041,9371331.183,-0.674126
1210.0,1307.0,936.0,235.0,673292.075,9371385.814,-0.746161
1231.0,1321.0,852.0,202.0,673284.16,9371379.222,-0.826161
870.0,775.0,471.0,199.0,673216.286,9371104.674,-1.220746
992.0,840.0,355.0,181.0,673141.816,9371074.199,-3.570746
